CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;87
RefMandelCalculator;512;1536;1024;100;87
RefMandelCalculator;512;1536;1024;100;87
RefMandelCalculator;1024;3072;2048;100;350
RefMandelCalculator;1024;3072;2048;100;350
RefMandelCalculator;1024;3072;2048;100;350
LineMandelCalculator;512;1536;1024;100;17
LineMandelCalculator;512;1536;1024;100;17
LineMandelCalculator;512;1536;1024;100;17
RefMandelCalculator;2048;6144;4096;100;1396
RefMandelCalculator;2048;6144;4096;100;1397
RefMandelCalculator;2048;6144;4096;100;1395
LineMandelCalculator;1024;3072;2048;100;73
LineMandelCalculator;1024;3072;2048;100;72
LineMandelCalculator;1024;3072;2048;100;72
BatchMandelCalculator;512;1536;1024;100;9
BatchMandelCalculator;512;1536;1024;100;9
BatchMandelCalculator;512;1536;1024;100;9
RefMandelCalculator;4096;12288;8192;100;5568
RefMandelCalculator;4096;12288;8192;100;5564
RefMandelCalculator;4096;12288;8192;100;5567
LineMandelCalculator;2048;6144;4096;100;297
LineMandelCalculator;2048;6144;4096;100;297
LineMandelCalculator;2048;6144;4096;100;298
BatchMandelCalculator;1024;3072;2048;100;34
BatchMandelCalculator;1024;3072;2048;100;34
BatchMandelCalculator;1024;3072;2048;100;34
RefMandelCalculator;512;1536;1024;1000;746
RefMandelCalculator;512;1536;1024;1000;746
RefMandelCalculator;512;1536;1024;1000;746
LineMandelCalculator;4096;12288;8192;100;1209
LineMandelCalculator;4096;12288;8192;100;1196
LineMandelCalculator;4096;12288;8192;100;1210
BatchMandelCalculator;2048;6144;4096;100;134
BatchMandelCalculator;2048;6144;4096;100;137
BatchMandelCalculator;2048;6144;4096;100;135
RefMandelCalculator;1024;3072;2048;1000;2985
RefMandelCalculator;1024;3072;2048;1000;2985
RefMandelCalculator;1024;3072;2048;1000;2985
LineMandelCalculator;512;1536;1024;1000;143
LineMandelCalculator;512;1536;1024;1000;142
LineMandelCalculator;512;1536;1024;1000;143
BatchMandelCalculator;4096;12288;8192;100;531
BatchMandelCalculator;4096;12288;8192;100;541
BatchMandelCalculator;4096;12288;8192;100;526
RefMandelCalculator;2048;6144;4096;1000;11941
RefMandelCalculator;2048;6144;4096;1000;11945
RefMandelCalculator;2048;6144;4096;1000;11944
LineMandelCalculator;1024;3072;2048;1000;607
LineMandelCalculator;1024;3072;2048;1000;607
LineMandelCalculator;1024;3072;2048;1000;609
BatchMandelCalculator;512;1536;1024;1000;60
BatchMandelCalculator;512;1536;1024;1000;61
BatchMandelCalculator;512;1536;1024;1000;60
RefMandelCalculator;4096;12288;8192;1000;47775
RefMandelCalculator;4096;12288;8192;1000;47759
RefMandelCalculator;4096;12288;8192;1000;47775
LineMandelCalculator;2048;6144;4096;1000;2472
LineMandelCalculator;2048;6144;4096;1000;2467
LineMandelCalculator;2048;6144;4096;1000;2488
BatchMandelCalculator;1024;3072;2048;1000;225
BatchMandelCalculator;1024;3072;2048;1000;225
BatchMandelCalculator;1024;3072;2048;1000;224
LineMandelCalculator;4096;12288;8192;1000;9922
LineMandelCalculator;4096;12288;8192;1000;9919
LineMandelCalculator;4096;12288;8192;1000;9954
BatchMandelCalculator;2048;6144;4096;1000;863
BatchMandelCalculator;2048;6144;4096;1000;863
BatchMandelCalculator;2048;6144;4096;1000;863
BatchMandelCalculator;4096;12288;8192;1000;3429
BatchMandelCalculator;4096;12288;8192;1000;3446
BatchMandelCalculator;4096;12288;8192;1000;3364
